ID del caso,Fecha de transacción,Fecha de disputa,Monto de la transacción (USD),Tipo de tarjeta,Tipo de operación,Motivo del chargeback,Categoría del comercio,Estado de la disputa,País del cliente,Caso fallido,Tipología de fraude,Transaction_Amount,Merchant_Name,Chargeback_Status,Recuperación_CBKs,Devoluciones_Comercio,Fallido,ARN de la operación,Estado del informe,Fecha del informe,Fraude evitado (USD),País del Merchant
C-000001,2023-01-01,2023-03-10,690.77,Crédito,Operación,Fraude sospechado,Electrónica,Perdida,Australia,No,Phishing,690.77 €,Comercio_1378,PRE-ARBITRAJE NO CONTINUADO,0.00 €,0.00 €,690.77 €,ARN00000001,Pendiente,Pendiente,0.0,India
C-000002,2023-01-02,2023-03-06,1.36,Débito,Cambio de divisa,Transacción no autorizada,Salud y belleza,Ganada,México,No,Fraude amistoso,1.36 €,Comercio_1948,CBK GANADO,1.36 €,0.00 €,0.00 €,ARN00000002,Hecho,2023-01-02,273.76,Canadá
C-000002,2023-01-02,2023-03-16,851.37,Débito,Operación,Transacción no autorizada,Salud y belleza,Ganada,México,No,Fraude amistoso,851.37 €,Comercio_1948,CBK GANADO,851.37 €,0.00 €,0.00 €,ARN00000002,Hecho,2023-01-02,273.76,Canadá
C-000003,2023-01-03,2023-04-02,910.68,Crédito,Operación,Fraude sospechado,Ropa y accesorios,Ganada,Alemania,Sí,Uso no autorizado,910.68 €,Comercio_878,CBK GANADO,910.68 €,0.00 €,0.00 €,ARN00000003,Pendiente,Pendiente,0.0,México
C-000003,2023-01-03,2023-03-28,1.49,Crédito,Cambio de divisa,Fraude sospechado,Ropa y accesorios,Ganada,Alemania,Sí,Uso no autorizado,1.49 €,Comercio_878,CBK GANADO,1.49 €,0.00 €,0.00 €,ARN00000003,Pendiente,Pendiente,0.0,México
C-000004,2023-01-04,2023-03-15,759.73,Débito,Operación,Transacción no autorizada,Hogar y jardín,Ganada,India,No,Phishing,759.73 €,Comercio_1401,DEVOLUCIÓN COMERCIO,0.00 €,759.73 €,0.00 €,ARN00000004,Hecho,2023-01-04,13.11,Estados Unidos
C-000004,2023-01-04,2023-03-31,1.17,Débito,Cambio de divisa,Transacción no autorizada,Hogar y jardín,Ganada,India,No,Phishing,1.17 €,Comercio_1401,DEVOLUCIÓN COMERCIO,0.00 €,1.17 €,0.00 €,ARN00000004,Hecho,2023-01-04,13.11,Estados Unidos
C-000005,2023-01-05,2023-04-05,987.61,Crédito,Operación,Transacción no autorizada,Ropa y accesorios,Ganada,Canadá,Sí,Fraude de identidad,987.61 €,Comercio_864,DEVOLUCIÓN COMERCIO,0.00 €,987.61 €,0.00 €,ARN00000005,Hecho,2023-01-05,226.14,Estados Unidos
C-000005,2023-01-05,2023-03-24,1.47,Crédito,Cambio de divisa,Transacción no autorizada,Ropa y accesorios,Ganada,Canadá,Sí,Fraude de identidad,1.47 €,Comercio_864,DEVOLUCIÓN COMERCIO,0.00 €,1.47 €,0.00 €,ARN00000005,Hecho,2023-01-05,226.14,Estados Unidos
C-000006,2023-01-06,2023-03-10,537.55,Débito,Operación,Fraude sospechado,Electrónica,Perdida,Reino Unido,Sí,Phishing,537.55 €,Comercio_1821,PRE-ARBITRAJE NO CONTINUADO,0.00 €,0.00 €,537.55 €,ARN00000006,Pendiente,Pendiente,0.0,México
C-000007,2023-01-07,2023-04-06,950.55,Débito,Operación,Reembolso no procesado,Electrónica,Perdida,Canadá,No,Robo de tarjeta,950.55 €,Comercio_591,PRE-ARBITRAJE NO CONTINUADO,0.00 €,0.00 €,950.55 €,ARN00000007,Hecho,2023-01-07,728.35,Estados Unidos
C-000008,2023-01-08,2023-03-25,645.55,Crédito,Operación,Producto defectuoso,Ropa y accesorios,Perdida,Estados Unidos,Sí,Uso no autorizado,645.55 €,Comercio_1753,PRE-ARBITRAJE NO CONTINUADO,0.00 €,0.00 €,645.55 €,ARN00000008,Hecho,2023-01-08,600.42,Canadá
C-000009,2023-01-09,2023-04-03,193.39,Débito,Operación,Reembolso no procesado,Entretenimiento,Perdida,Canadá,No,Uso no autorizado,193.39 €,Comercio_974,PRE-ARBITRAJE NO CONTINUADO,0.00 €,0.00 €,193.39 €,ARN00000009,Pendiente,Pendiente,0.0,Australia
C-000010,2023-01-10,2023-03-11,66.62,Crédito,Operación,Reembolso no procesado,Electrónica,Perdida,Estados Unidos,Sí,Robo de tarjeta,66.62 €,Comercio_306,PRE-ARBITRAJE NO CONTINUADO,0.00 €,0.00 €,66.62 €,ARN00000010,Hecho,2023-01-10,792.87,India
C-000011,2023-01-11,2023-03-16,383.39,Débito,Operación,Transacción no autorizada,Comida y bebidas,Perdida,Estados Unidos,No,Phishing,383.39 €,Comercio_1285,PRE-ARBITRAJE NO CONTINUADO,0.00 €,0.00 €,383.39 €,ARN00000011,Hecho,2023-01-11,424.86,Australia
